+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 20 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 5 | 10 |   RUNNING |   WAITING |
|                 5 | 20 |     READY |   RUNNING |
|                12 | 20 |   RUNNING |   WAITING |
|                15 | 10 |   WAITING |     READY |
|                15 | 10 |     READY |   RUNNING |
|                20 | 10 |   RUNNING |   WAITING |
|                24 | 20 |   WAITING |     READY |
|                24 | 20 |     READY |   RUNNING |
|                30 | 10 |   WAITING |     READY |
|                31 | 20 |   RUNNING |   WAITING |
|                31 | 10 |     READY |   RUNNING |
|                36 | 10 |   RUNNING |   WAITING |
|                43 | 20 |   WAITING |     READY |
|                43 | 20 |     READY |   RUNNING |
|                46 | 10 |   WAITING |     READY |
|                50 | 30 |       NEW |     READY |
|                50 | 20 |   RUNNING |   WAITING |
|                50 | 10 |     READY |   RUNNING |
|                55 | 10 |   RUNNING |   WAITING |
|                55 | 30 |     READY |   RUNNING |
|                62 | 20 |   WAITING |     READY |
|                65 | 10 |   WAITING |     READY |
|                65 | 30 |   RUNNING |   WAITING |
|                65 | 10 |     READY |   RUNNING |
|                70 | 10 |   RUNNING |   WAITING |
|                70 | 20 |     READY |   RUNNING |
|                77 | 20 |   RUNNING |   WAITING |
|                80 | 30 |   WAITING |     READY |
|                80 | 10 |   WAITING |     READY |
|                80 | 10 |     READY |   RUNNING |
|                85 | 10 |   RUNNING |   WAITING |
|                85 | 30 |     READY |   RUNNING |
|                89 | 20 |   WAITING |     READY |
|                95 | 10 |   WAITING |     READY |
|                95 | 30 |   RUNNING |   WAITING |
|                95 | 10 |     READY |   RUNNING |
|               100 | 10 |   RUNNING |   WAITING |
|               100 | 20 |     READY |   RUNNING |
|               107 | 20 |   RUNNING |   WAITING |
|               110 | 30 |   WAITING |     READY |
|               110 | 10 |   WAITING |     READY |
|               110 | 10 |     READY |   RUNNING |
|               115 | 10 |   RUNNING |   WAITING |
|               115 | 30 |     READY |   RUNNING |
|               119 | 20 |   WAITING |     READY |
|               125 | 10 |   WAITING |     READY |
|               125 | 30 |   RUNNING |   WAITING |
|               125 | 10 |     READY |   RUNNING |
|               130 | 10 |   RUNNING |   WAITING |
|               130 | 20 |     READY |   RUNNING |
|               137 | 20 |   RUNNING |   WAITING |
|               140 | 30 |   WAITING |     READY |
|               140 | 10 |   WAITING |     READY |
|               140 | 10 |     READY |   RUNNING |
|               145 | 10 |   RUNNING |   WAITING |
|               145 | 30 |     READY |   RUNNING |
|               149 | 20 |   WAITING |     READY |
|               155 | 10 |   WAITING |     READY |
|               155 | 30 |   RUNNING |   WAITING |
|               155 | 10 |     READY |   RUNNING |
|               160 | 10 |   RUNNING |   WAITING |
|               160 | 20 |     READY |   RUNNING |
|               167 | 20 |   RUNNING |   WAITING |
|               170 | 30 |   WAITING |     READY |
|               170 | 10 |   WAITING |     READY |
|               170 | 10 |     READY |   RUNNING |
|               175 | 10 |   RUNNING |   WAITING |
|               175 | 30 |     READY |   RUNNING |
|               179 | 20 |   WAITING |     READY |
|               185 | 10 |   WAITING |     READY |
|               185 | 30 |   RUNNING |   WAITING |
|               185 | 10 |     READY |   RUNNING |
|               190 | 10 |   RUNNING |   WAITING |
|               190 | 20 |     READY |   RUNNING |
|               197 | 20 |   RUNNING |   WAITING |
|               200 | 30 |   WAITING |     READY |
|               200 | 10 |   WAITING |     READY |
|               200 | 10 |     READY |   RUNNING |
|               205 | 10 |   RUNNING |   WAITING |
|               205 | 30 |     READY |   RUNNING |
|               209 | 20 |   WAITING |     READY |
|               215 | 10 |   WAITING |     READY |
|               215 | 30 |   RUNNING |   WAITING |
|               215 | 10 |     READY |   RUNNING |
|               220 | 10 |   RUNNING |   WAITING |
|               220 | 20 |     READY |   RUNNING |
|               227 | 20 |   RUNNING |   WAITING |
|               230 | 30 |   WAITING |     READY |
|               230 | 10 |   WAITING |     READY |
|               230 | 10 |     READY |   RUNNING |
|               235 | 10 |   RUNNING |   WAITING |
|               235 | 30 |     READY |   RUNNING |
|               239 | 20 |   WAITING |     READY |
|               245 | 10 |   WAITING |     READY |
|               245 | 30 |   RUNNING |   WAITING |
|               245 | 10 |     READY |   RUNNING |
|               250 | 10 |   RUNNING |   WAITING |
|               250 | 20 |     READY |   RUNNING |
|               257 | 20 |   RUNNING |   WAITING |
|               260 | 30 |   WAITING |     READY |
|               260 | 10 |   WAITING |     READY |
|               260 | 10 |     READY |   RUNNING |
|               265 | 10 |   RUNNING |   WAITING |
|               265 | 30 |     READY |   RUNNING |
|               269 | 20 |   WAITING |     READY |
|               275 | 10 |   WAITING |     READY |
|               275 | 30 |   RUNNING |   WAITING |
|               275 | 10 |     READY |   RUNNING |
|               280 | 10 |   RUNNING |   WAITING |
|               280 | 20 |     READY |   RUNNING |
|               287 | 20 |   RUNNING |   WAITING |
|               290 | 30 |   WAITING |     READY |
|               290 | 10 |   WAITING |     READY |
|               290 | 10 |     READY |   RUNNING |
|               295 | 10 |   RUNNING |   WAITING |
|               295 | 30 |     READY |   RUNNING |
|               299 | 20 |   WAITING |     READY |
|               305 | 10 |   WAITING |     READY |
|               305 | 30 |   RUNNING |   WAITING |
|               305 | 10 |     READY |   RUNNING |
|               310 | 10 |   RUNNING |   WAITING |
|               310 | 20 |     READY |   RUNNING |
|               317 | 20 |   RUNNING |   WAITING |
|               320 | 30 |   WAITING |     READY |
